Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,ACTION,54,0,14,14.154573685421687,7.777273000101559,38.849563999974634,15.0,1.8867883108575583,0.0,14,15,15,16,16,16,16,39,39,39,39
POST,LOGIN,21,0,14,13.779610619253834,11.145671000122093,16.971119002846535,15.0,0.7337510097779393,0.0,14,14,16,16,16,16,17,17,17,17,17
POST,LOGOUT,16,0,6,6.374488313213078,4.090964001079556,7.864365001296392,15.0,0.5590483884022395,0.0,7,7,8,8,8,8,8,8,8,8,8
,Aggregated,91,0,13,12.700116648664954,4.090964001079556,38.849563999974634,15.0,3.179587709037737,0.0,13,14,15,15,16,16,17,39,39,39,39
